,department,name,cost,people,date,category
0,감사위원회,기찬메밀국수,373000,29,2023-04-03,미분류
1,감사위원회,에어산,199500,29,2023-04-03,미분류
2,감사위원회,나루스시,78000,4,2023-04-04, 일식 
3,감사위원회,석교리,119000,7,2023-04-06, 한식 
4,감사위원회,순남이네,45000,4,2023-04-11, 한식
5,감사위원회,153바지락칼국수,63000,4,2023-04-12, 한식 
6,감사위원회,궁궐,154000,6,2023-04-13, 한식
7,감사위원회,명성횟집,103000,4,2023-04-13, 한식 
8,감사위원회,은용골농장가든,178000,8,2023-04-14, 한식 
9,감사위원회,다미초밥,80000,4,2023-04-18, 일식 
10,감사위원회,아침바다(제주시노형동),433000,14,2023-04-18,미분류
11,감사위원회,신종로빈대떡,207500,8,2023-04-20, 한식
12,감사위원회,타이스토리,88400,5,2023-04-20, 아시아음식 
13,감사위원회,소쿠리밥상청사점,61000,4,2023-04-21, 한식 
14,감사위원회,풍미정원,67000,6,2023-04-21, 한식 
15,감사위원회,청담,168000,6,2023-04-24, 중식 
16,감사위원회,석교리,94000,6,2023-04-25, 한식 
17,감사위원회,대유가재울,152000,8,2023-04-25, 한식 
18,감사위원회,교보문고(인터넷),72000,5,2023-04-25,미분류
19,감사위원회,청담,84000,4,2023-04-27, 중식 
20,감사위원회,나루스시,78000,4,2023-04-27, 일식 
21,감사위원회,오롯이,84000,4,2023-04-28, 일식
22,감염병관리과,임대장,95000,6,2023-04-03, 한식 
23,감염병관리과,두툼,72500,4,2023-04-07, 한식 
24,감염병관리과,한돈사회생활,98000,6,2023-04-20, 한식 
25,감염병관리과,신칼국수,149500,8,2023-04-21, 한식 
26,감염병관리과,보타닉아쿠아카페,25500,5,2023-04-26,미분류
27,감염병관리과,배부장찌개,36000,4,2023-04-27, 한식 
28,건설교통국,강촌,66000,6,2023-04-03, 한식 
29,건설교통국,대손관,45000,4,2023-04-04, 일식 
30,건설교통국,유성복집,100000,6,2023-04-06, 한식 
31,건설교통국,해밀,54000,5,2023-04-10," 관광,명소 "
32,건설교통국,세종장어대가,107000,4,2023-04-12, 한식 
33,건설교통국,또바기곰탕,84600,6,2023-04-13, 한식 
34,건설교통국,초원삼계탕,137800,8,2023-04-18, 한식 
36,건설교통국,해가연,64100,6,2023-04-19, 한식 
37,건설교통국,유쾌한상,90000,6,2023-04-19, 한식 
38,건설교통국,르비엣,139000,8,2023-04-20, 아시아음식 
39,건설교통국,우리네코다리,50000,5,2023-04-24, 한식 
40,건설교통국,이디야커피시첫마을점,15800,4,2023-04-26,미분류
42,건설교통국,우리네코다리,250000,25,2023-04-27, 한식 
43,건축과,영심이소머리국밥,50000,5,2023-04-07, 한식 
44,건축과,사랑채,87000,4,2023-04-18, 한식
45,건축과,우보설렁탕,72000,6,2023-04-21, 한식 
46,건축과,도깨비참치,100000,5,2023-04-24, 일식 
47,건축과,우리네코다리,80000,8,2023-04-27, 한식 
48,경제산업국,써밋뷰,57000,4,2023-04-12, 카페
49,경제산업국,오롯이,247000,12,2023-04-14, 일식
50,경제산업국,저림숙성그릴,330000,14,2023-04-19, 한식 
51,경제산업국,㈜안다미로24,126000,6,2023-04-24,미분류
52,경제산업국,명태찜앤드낭만도야지,119000,5,2023-04-25, 한식 
53,경제정책과,추어명가,54000,4,2023-04-04, 한식 
54,경제정책과,김광희손두부,40000,4,2023-04-10,미분류
55,경제정책과,식원,75000,3,2023-04-13, 중식 
56,경제정책과,공이막국수,41000,4,2023-04-21, 한식 
57,고운동,팔선생,121000,6,2023-04-06, 중식
58,고운동,진짜배기명태촌고운점,96000,8,2023-04-27, 한식 
59,공공건설사업소,내토왕코다리,63000,4,2023-04-04, 한식 
60,공공건설사업소,키햐아소담점,40000,3,2023-04-14, 일식
61,공공건설사업소,유성복집,78000,3,2023-04-20, 한식 
62,공공건설사업소,내토왕코다리,76000,4,2023-04-24, 한식 
63,공보관,함흥면옥,56000,6,2023-04-04, 한식 
64,공보관,궁궐,259000,12,2023-04-05, 한식
65,공보관,해밀,47000,3,2023-04-06," 관광,명소 "
66,공보관,초가집갈비김치찌개,86000,7,2023-04-10, 한식 
67,공보관,달빛전,36000,2,2023-04-10, 술집 
68,공보관,연비정가든,252000,15,2023-04-12, 한식 
69,공보관,순남시래기,54000,6,2023-04-13, 한식
70,공보관,나성횟집,150000,7,2023-04-13, 한식 
71,공보관,밀마루,77000,7,2023-04-14," 관광,명소 "
72,공보관,군산조개천국,150000,6,2023-04-17, 한식 
73,공보관,차득순손칼국수,60000,6,2023-04-18, 한식 
74,공보관,고스란,31500,3,2023-04-19, 한식
75,공보관,두툼,30000,3,2023-04-20, 한식 
76,공보관,영동순대,50000,5,2023-04-24, 한식 
77,공보관,또바기검은콩수제비.칼국수,31000,3,2023-04-25, 한식 
78,공보관,김광희손두부,48000,4,2023-04-26,미분류
79,공보관,설악칡냉면숯불갈비,133000,5,2023-04-26, 한식 
80,공보관,강산매운탕,96000,4,2023-04-28, 한식 
81,공보관,차득순손칼국수,123000,7,2023-04-28, 한식 
82,공보관,착한횟집,70000,3,2023-04-28, 한식 
83,공원관리사업소,도담얼큰이칼국수,38500,5,2023-04-03, 한식 
84,공원관리사업소,밥상차려주는집,108000,4,2023-04-04, 한식
85,공원관리사업소,꺼먹지황태진국,60000,4,2023-04-06,미분류
86,공원관리사업소,동동칼국수,62000,6,2023-04-13, 한식 
87,공원관리사업소,박월순곱창전문점,94000,6,2023-04-18, 한식 
88,공원관리사업소,대구반야월막창세종,84000,5,2023-04-21, 한식 
89,공원관리사업소,릴라밥집,40000,4,2023-04-24, 일식 
90,공원관리사업소,이밥,40000,4,2023-04-25, 한식
91,관광진흥과,황금조개구이횟집,115000,6,2023-04-03,미분류
92,관광진흥과,한돈사회생활,71000,3,2023-04-06, 한식 
93,관광진흥과,운주산오리,69000,4,2023-04-07, 한식 
94,관광진흥과,자유의언덕,41700,4,2023-04-27, 일식 
95,교육지원과,보미진콩이랑두부랑,150000,10,2023-04-12,미분류
96,교육지원과,단우,65000,20,2023-04-18, 간식 
97,교육지원과,천안문,264000,10,2023-04-20, 중식 
98,교육지원과,자연이스테이,129300,6,2023-04-28, 양식
99,교육지원과,사키,72000,4,2023-04-28, 일식
100,교통과,세종삼복낙지,119000,4,2023-04-03, 한식 
101,교통과,유성복집,116000,8,2023-04-06, 한식 
102,교통과,돌체,50000,4,2023-04-19, 카페 
103,교통과,우리네코다리,150000,15,2023-04-27, 한식 
104,국회세종의사당건립지원협력사무소,카페노티드(서울),62000,16,2023-04-03,미분류
105,국회세종의사당건립지원협력사무소,원마산아구찜(서울),82000,4,2023-04-03,미분류
106,국회세종의사당건립지원협력사무소,시에나프리모(서울),205600,10,2023-04-05,미분류
107,국회세종의사당건립지원협력사무소,장수집(서울),96000,4,2023-04-06,미분류
108,국회세종의사당건립지원협력사무소,행복큐산업,197900,100,2023-04-06,미분류
109,국회세종의사당건립지원협력사무소,곽수산(서울),188000,8,2023-04-07,미분류
110,국회세종의사당건립지원협력사무소,신의주순대(서울),90000,4,2023-04-14,미분류
111,국회세종의사당건립지원협력사무소,커피소녀#(서울),11000,4,2023-04-14,미분류
112,국회세종의사당건립지원협력사무소,타코벨여의도메리츠점(서울),163300,25,2023-04-26,미분류
113,규제개혁법무담당관,르비프(LeBeef),90000,3,2023-04-03,미분류
114,규제개혁법무담당관,피제리아지알로,62000,3,2023-04-11, 양식 
115,규제개혁법무담당관,사키,72000,3,2023-04-19, 일식
116,규제개혁법무담당관,우나기칸,90000,3,2023-04-21, 일식 
117,규제개혁법무담당관,르비프(LeBeef),90000,3,2023-04-25,미분류
118,규제개혁법무담당관,분당만강원,150000,5,2023-04-28, 중식
119,금남면,북어찜전문점,27000,3,2023-04-04, 한식 
120,금남면,강산매운탕,67000,3,2023-04-09, 한식 
121,금남면,백씨네가게,12500,3,2023-04-12, 카페
122,금남면,초가집갈비김치찌개,176000,12,2023-04-17, 한식 
123,금남면,청기와식당,280000,14,2023-04-20, 한식
124,금남면,고기굽는마을,263000,14,2023-04-21, 한식 
125,금남면,정선산곤드레,29000,3,2023-04-21, 한식
126,금남면,선유궁,70000,5,2023-04-25, 한식 
127,기업지원과,청담초밥,69500,5,2023-04-06,미분류
128,기업지원과,김광희손두부,50000,5,2023-04-18,미분류
129,기업지원과,운주산오리,91000,5,2023-04-20, 한식 
130,기업지원과,스타벅스,46400,5,2023-04-28, 카페 
131,기획조정실,하나샤브샤브,63000,3,2023-04-04, 샤브샤브
132,기획조정실,홍루이젠,130000,14,2023-04-04, 패스트푸드 
133,기획조정실,홍루이젠,82500,10,2023-04-06, 패스트푸드 
134,기획조정실,착한감자탕해장국,63000,4,2023-04-06, 한식 
